t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1600903102,500,2.727475,1.432822,10.946369,15.362782,events/second
1600903401,500,2.623481,1.183228,10.164473,14.545546,events/second
1600903711,500,2.492281,1.008979,9.934022,14.544987,events/second
1600904170,500,1.647794,0.153743,4.057173,7.002525,events/second
1600904363,100,0.786287,0.801517,3.129167,3.927394,events/second
1600904705,100,0.420661,0.090444,1.078800,1.628271,events/second
1600905319,100,0.228099,0.003494,0.325974,0.688849,events/second
