t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1600903102,500,13,13.000000,13,0.000000,13.000000,13.000000,13.000000,13.000000,13.000000,13.000000
1600903401,500,14,14.000000,14,0.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000
1600903711,500,19,19.000000,19,0.000000,19.000000,19.000000,19.000000,19.000000,19.000000,19.000000
1600904170,500,46,46.000000,46,0.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000
1600904363,100,97,97.000000,97,0.000000,97.000000,97.000000,97.000000,97.000000,97.000000,97.000000
1600904705,100,197,197.000000,197,0.000000,197.000000,197.000000,197.000000,197.000000,197.000000,197.000000
1600905319,100,370,370.000000,370,0.000000,370.000000,370.000000,370.000000,370.000000,370.000000,370.000000
