t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1600903102,500,6.907061,8.957024,15.794324,17.359976,events/second
1600903401,500,6.736152,8.858376,15.479625,16.990164,events/second
1600903711,500,6.246144,7.050547,13.447366,14.973435,events/second
1600904170,500,3.583796,2.512761,7.794259,9.443964,events/second
1600904363,100,1.630349,2.581945,4.376924,4.782773,events/second
1600904705,100,0.834950,0.723793,1.881566,2.212471,events/second
1600905319,100,0.443355,0.119137,0.750385,1.025554,events/second
