t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1600903102,500,11.040176,13.675051,17.338700,18.039162,events/second
1600903401,500,10.815454,13.429113,16.824409,17.468675,events/second
1600903711,500,10.164792,13.302851,16.483645,17.088598,events/second
1600904170,500,5.830987,5.487583,8.157024,8.710122,events/second
1600904363,100,2.577078,3.700918,4.401756,4.532795,events/second
1600904705,100,1.365012,1.414724,1.869833,1.955904,events/second
1600905319,100,0.738846,0.515348,0.885746,0.961321,events/second
