t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1600903102,500,367,28.177686,11,16.138743,31.000000,31.000000,37.000000,46.000000,46.000000,367.000000
1600903401,500,395,34.399199,16,16.331780,32.000000,35.000000,47.000000,49.000000,51.000000,395.000000
1600903711,500,458,35.239205,15,18.998321,33.000000,37.000000,47.000000,51.000000,54.000000,458.000000
1600904170,500,446,50.317765,33,17.792569,48.000000,53.000000,62.000000,65.000000,67.000000,446.000000
1600904363,100,452,100.705041,69,43.996836,91.000000,95.000000,162.000000,203.000000,203.000000,452.000000
1600904705,100,545,209.477997,142,72.218321,162.000000,292.000000,307.000000,308.000000,310.000000,545.000000
1600905319,100,696,394.994799,283,132.976578,302.000000,569.000000,584.000000,590.000000,595.000000,696.000000
