t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1592251333,100,47,30.409724,15,5.961451,31.000000,31.000000,38.000000,46.000000,47.000000,47.000000
1592251558,100,47,32.058632,15,4.862825,31.000000,33.000000,46.000000,47.000000,47.000000,47.000000
1592251675,100,54,35.777775,16,6.318359,33.000000,39.000000,47.000000,51.000000,52.000000,54.000000
1592251831,100,69,53.090652,41,6.457253,52.000000,58.000000,66.000000,68.000000,68.000000,69.000000
1592252041,100,268,103.006160,73,41.169705,88.000000,91.000000,212.000000,254.000000,268.000000,268.000000
1592252337,100,182,159.334702,145,6.289987,159.000000,162.000000,172.000000,174.000000,174.000000,182.000000
1592252708,100,773,319.096849,291,48.587693,309.000000,317.000000,381.000000,475.000000,475.000000,773.000000
