t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1592251333,100,455,35.808320,15,42.279799,31.000000,33.000000,46.000000,49.000000,50.000000,455.000000
1592251558,100,527,42.350289,15,48.642768,36.000000,39.000000,58.000000,65.000000,77.000000,527.000000
1592251675,100,444,41.645983,26,40.529884,36.000000,46.000000,50.000000,51.000000,51.000000,444.000000
1592251831,100,444,59.160715,38,38.166689,55.000000,58.000000,67.000000,67.000000,71.000000,444.000000
1592252041,100,5081,150.697162,81,507.592496,93.000000,98.000000,110.000000,115.000000,5081.000000,5081.000000
1592252337,100,600,169.644379,147,41.375079,162.000000,171.000000,178.000000,183.000000,184.000000,600.000000
1592252708,100,812,316.544362,287,50.304200,307.000000,316.000000,337.000000,506.000000,506.000000,812.000000
