t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1592251333,100,2.937208,11.619743,16.048975,16.937406,events/second
1592251558,100,2.789055,10.690679,15.783709,16.843570,events/second
1592251675,100,2.702887,10.136859,14.894079,15.881742,events/second
1592251831,100,1.758737,4.252721,7.608756,8.383514,events/second
1592252041,100,0.888895,0.966868,3.012627,3.639452,events/second
1592252337,100,0.785254,0.690371,2.472174,3.057387,events/second
1592252708,100,0.448361,0.114826,1.133486,1.655531,events/second
