t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
payload_1k,100,285,62.207919,49,27.570636,57.000000,61.000000,68.000000,162.000000,181.000000,285.000000
payload_5k,100,240,62.156379,50,24.286178,57.000000,62.000000,71.000000,162.000000,173.000000,240.000000
payload_10k,100,175,62.148650,50,18.488239,58.000000,63.000000,75.000000,150.000000,155.000000,175.000000
payload_50k,100,268,65.090559,52,26.892636,60.000000,63.000000,70.000000,181.000000,196.000000,268.000000
payload_100k,100,254,88.798104,72,28.667544,84.000000,88.000000,103.000000,240.000000,245.000000,254.000000
payload_200k,100,277,122.605396,93,26.787724,119.000000,125.000000,145.000000,254.000000,258.000000,277.000000
payload_400k,100,8663,336.852756,131,1170.577468,158.000000,167.000000,234.000000,7494.000000,8663.000000,8663.000000
