payload,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
payload_1k,100,46,27.110315,23,3.783695,26,28,36,37,46,46
payload_5k,100,44,26.808028,23,3.20712,26,28,33,40,44,44
payload_10k,100,35,26.356693,22,2.585924,26,27,32,34,34,35
payload_50k,100,47,28.514898,23,4.141575,28,30,35,46,47,47
payload_100k,100,103,32.772355,24,15.129694,27,31,74,82,103,103
payload_200k,100,186,77.367779,25,38.570139,79,100,158,160,173,186
payload_400k,100,3014,186.059533,28,313.566479,156,207,258,319,3014,3014
