t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
payload_1k,100,3643,69.485463,25,368.823245,30.000000,32.000000,39.000000,42.000000,3643.000000,3643.000000
payload_5k,100,350,42.461482,29,31.773600,36.000000,43.000000,63.000000,68.000000,77.000000,350.000000
payload_10k,100,41,34.134338,29,2.871052,34.000000,37.000000,39.000000,40.000000,40.000000,41.000000
payload_50k,100,5972,119.975560,48,619.586671,54.000000,56.000000,59.000000,63.000000,5972.000000,5972.000000
payload_100k,100,108,91.411794,85,3.956655,91.000000,93.000000,97.000000,107.000000,108.000000,108.000000
payload_200k,100,9150,237.688740,156,811.853063,162.000000,164.000000,173.000000,182.000000,262.000000,9150.000000
payload_400k,100,356,314.522146,301,11.568816,311.000000,318.000000,340.000000,342.000000,345.000000,356.000000
