t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595449890,100,19,7.453633,6,1.933278,7.000000,8.000000,11.000000,15.000000,19.000000,19.000000
1595449943,100,17,7.683173,6,1.970262,7.000000,8.000000,12.000000,14.000000,17.000000,17.000000
1595450025,100,74,10.380225,6,7.663869,8.000000,10.000000,20.000000,28.000000,28.000000,74.000000
1595450162,100,4748,92.331391,8,579.080964,10.000000,11.000000,17.000000,3220.000000,4748.000000,4748.000000
1595450394,100,3594,89.901247,10,489.030396,13.000000,14.000000,19.000000,2709.000000,3594.000000,3594.000000
1595450814,100,133,21.418469,18,10.260814,20.000000,21.000000,26.000000,30.000000,37.000000,133.000000
1595451539,100,2279,49.436586,26,203.669443,30.000000,32.000000,37.000000,40.000000,57.000000,2279.000000
