t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1595449890,100,2.703924,12.130613,18.096748,19.344322,events/second
1595449943,100,6.681879,18.400888,19.669429,19.889197,events/second
1595450025,100,3.918060,8.311417,10.248122,10.612774,events/second
1595450162,100,2.326458,11.160703,17.797635,19.237152,events/second
1595450394,100,1.148278,3.587116,10.047176,11.929994,events/second
1595450814,100,0.543454,0.273001,2.057023,2.875976,events/second
1595451539,100,0.325300,0.033632,1.285263,2.360845,events/second
