t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1600897992,500,5.474174,10.348693,28.674032,33.985574,events/second
1600898300,500,5.376785,10.304771,28.525953,33.804618,events/second
1600898613,500,5.284746,10.086989,27.785769,32.899865,events/second
1600899081,500,3.225528,3.135766,20.108730,27.409096,events/second
1600899266,100,1.510167,7.021680,15.569644,17.779844,events/second
1600899607,100,0.774669,1.718113,8.133966,10.541085,events/second
1600900224,100,0.420428,0.188480,3.628039,5.939702,events/second
