t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1600897992,500,3.030789,2.991693,20.713678,28.596447,events/second
1600898300,500,2.986102,2.764655,20.486502,28.604486,events/second
1600898613,500,2.945742,2.728751,20.141097,28.105111,events/second
1600899081,500,1.963209,0.459776,9.101244,14.970339,events/second
1600899266,100,0.982195,2.121003,6.978673,8.511526,events/second
1600899607,100,0.520839,0.286873,2.731402,3.977537,events/second
1600900224,100,0.286808,0.015229,0.872969,1.713276,events/second
