t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1600897992,500,4.787758,8.944018,28.449862,34.504797,events/second
1600898300,500,4.685207,8.061853,27.275907,33.423887,events/second
1600898613,500,4.631446,8.264242,28.120646,34.491623,events/second
1600899081,500,2.943071,2.752910,20.371443,28.438039,events/second
1600899266,100,1.402463,6.645688,15.787300,18.236426,events/second
1600899607,100,0.729600,1.496192,8.122282,10.768882,events/second
1600900224,100,0.398986,0.143762,3.364253,5.690049,events/second
