payload,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
payload_1k,100,1.954305,9.447331,17.214160,19.024588,events/second
payload_5k,100,1.920205,9.447331,17.214160,19.024588,events/second
payload_10k,100,1.830468,9.447331,17.214160,19.024588,events/second
payload_50k,100,1.180537,5.730096,15.576016,18.400888,events/second
payload_100k,100,0.591427,1.148578,9.541134,13.579202,events/second
payload_200k,100,0.298567,0.043533,3.042550,6.176295,events/second
payload_400k,100,0.155497,0.000147,0.538811,2.118025,events/second
