t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597096514,100,2.076451,8.768185,14.749979,16.086735,events/second
1597096619,100,2.014229,8.393146,14.061607,15.325775,events/second
1597096713,100,1.960499,7.635804,13.659940,15.051682,events/second
1597096890,100,1.361475,3.802926,8.504019,9.725132,events/second
1597097079,100,0.697448,0.680246,3.352337,4.375974,events/second
1597097558,100,0.359991,0.050226,1.103741,1.852109,events/second
1597098222,100,0.193465,0.000951,0.285455,0.743067,events/second
