t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597096514,100,1.750125,6.945913,13.267710,14.780156,events/second
1597096619,100,1.694747,6.628449,12.601906,14.027604,events/second
1597096713,100,1.648676,5.879407,11.902515,13.388602,events/second
1597096890,100,1.195448,4.003494,10.522316,12.362424,events/second
1597097079,100,0.633354,0.892185,6.167242,8.511975,events/second
1597097558,100,0.335508,0.070755,3.045114,5.700720,events/second
1597098222,100,0.182746,0.000789,0.868690,2.790111,events/second
