payload,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
payload_1k,100,41,31.351860,26,2.759691,31.000000,33.000000,37.000000,38.000000,41.000000,41.000000
payload_5k,100,40,33.431736,27,2.567978,33.000000,35.000000,38.000000,39.000000,40.000000,40.000000
payload_10k,100,42,34.435555,28,2.835223,34.000000,36.000000,40.000000,41.000000,41.000000,42.000000
payload_50k,100,69,56.382447,49,4.038051,55.000000,59.000000,65.000000,66.000000,67.000000,69.000000
payload_100k,100,261,107.973599,84,37.558435,94.000000,98.000000,199.000000,236.000000,261.000000,261.000000
payload_200k,100,484,217.464808,152,85.544627,170.000000,308.000000,399.000000,413.000000,413.000000,484.000000
payload_400k,100,865,421.772336,313,161.831676,325.000000,618.000000,711.000000,796.000000,860.000000,865.000000
