payload,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
payload_1k,100,36,26.964672,22,2.643194,26.000000,28.000000,32.000000,34.000000,34.000000,36.000000
payload_5k,100,35,27.326446,20,2.847511,27.000000,29.000000,32.000000,34.000000,35.000000,35.000000
payload_10k,100,38,28.461630,23,3.172753,28.000000,30.000000,35.000000,36.000000,37.000000,38.000000
payload_50k,100,70,30.637541,25,6.095294,29.000000,32.000000,37.000000,64.000000,70.000000,70.000000
payload_100k,100,85,50.949129,41,5.784949,50.000000,54.000000,60.000000,61.000000,61.000000,85.000000
payload_200k,100,103,81.267094,64,7.919112,81.000000,86.000000,97.000000,98.000000,98.000000,103.000000
payload_400k,100,431,129.752042,101,32.639929,126.000000,134.000000,148.000000,159.000000,212.000000,431.000000
