payload,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
payload_1k,100,2.748871,12.130613,18.096748,19.344322,events/second
payload_5k,100,2.673904,12.130613,18.096748,19.344322,events/second
payload_10k,100,2.602696,12.130613,18.096748,19.344322,events/second
payload_50k,100,1.909743,9.274805,16.875662,18.646216,events/second
payload_100k,100,1.021788,2.264916,6.950327,8.378991,events/second
payload_200k,100,0.542855,0.329107,2.714283,3.858242,events/second
payload_400k,100,0.297374,0.018023,0.902637,1.732436,events/second
