t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1593662566,100,1.541306,7.996993,16.649812,18.814374,events/second
1593662664,100,1.428176,0.884600,0.908348,0.844324,events/second
1593662915,100,1.596506,7.996993,16.649812,18.814374,events/second
1593663216,100,1.129367,4.212909,12.005121,14.295604,events/second
1593663759,100,0.601386,0.704777,5.503726,7.751965,events/second
1593664538,100,0.309456,0.033974,1.840028,3.582793,events/second
1593665197,100,0.168592,0.000267,0.413692,1.408784,events/second
