t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1595357324,100,2.668146,12.130613,18.096748,19.344322,events/second
1595357521,100,2.253872,11.160703,17.797635,19.237152,events/second
1595357758,100,1.607817,7.996993,16.649812,18.814374,events/second
1595357934,100,2.844541,12.130613,18.096748,19.344322,events/second
1595358261,100,1.166468,5.271943,15.318567,18.298945,events/second
1595358617,100,0.749004,2.490289,13.184813,17.406495,events/second
1595359437,100,0.417150,0.432747,9.291180,15.489722,events/second
