t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595357324,100,6235,76.438767,5,649.934282,6.000000,7.000000,27.000000,66.000000,6235.000000,6235.000000
1595357521,100,1825,26.057946,5,186.154605,7.000000,7.000000,8.000000,11.000000,1825.000000,1825.000000
1595357758,100,8562,97.285213,5,856.341214,8.000000,8.000000,43.000000,65.000000,8562.000000,8562.000000
1595357934,100,215,45.059470,8,50.729161,11.000000,79.000000,145.000000,172.000000,190.000000,215.000000
1595358261,100,372,32.871276,9,57.033385,12.000000,14.000000,140.000000,243.000000,372.000000,372.000000
1595358617,100,4785,185.217821,14,668.922106,18.000000,36.000000,523.000000,4563.000000,4563.000000,4785.000000
1595359437,100,2952,192.664287,23,337.954355,30.000000,292.000000,627.000000,685.000000,1912.000000,2952.000000
