payload,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
payload_1k,100,13,6.444272,5,1.302739,6.000000,7.000000,8.000000,9.000000,13.000000,13.000000
payload_5k,100,14,6.699762,5,1.059586,6.000000,7.000000,8.000000,9.000000,14.000000,14.000000
payload_10k,100,250,10.049418,6,24.650367,7.000000,8.000000,12.000000,18.000000,250.000000,250.000000
payload_50k,100,2294,32.602747,8,227.786854,9.000000,10.000000,11.000000,15.000000,2294.000000,2294.000000
payload_100k,100,126,13.182737,9,10.491019,12.000000,13.000000,15.000000,18.000000,24.000000,126.000000
payload_200k,100,29,19.226626,17,2.263090,19.000000,19.000000,25.000000,28.000000,29.000000,29.000000
payload_400k,100,40,29.445829,25,2.657273,29.000000,30.000000,35.000000,40.000000,40.000000,40.000000
