payload,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
payload_1k,100,1.338230,6.769309,16.103966,18.606483,events/second
payload_5k,100,2.762923,12.130613,18.096748,19.344322,events/second
payload_10k,100,1.815438,8.691964,16.929634,18.919189,events/second
payload_50k,100,1.040852,0.608293,0.838448,0.821552,events/second
payload_100k,100,0.537512,0.121462,0.301853,0.255580,events/second
payload_200k,100,0.286882,0.014975,0.687089,1.305233,events/second
payload_400k,100,0.159335,0.000171,0.149996,0.458592,events/second
