payload,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
payload_1k,100,2,2.000000,2,0.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
payload_5k,100,3,3.000000,3,0.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000
payload_10k,100,3,3.000000,3,0.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000
payload_50k,100,10,9.702194,5,1.183361,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000
payload_100k,100,20,19.794938,10,1.417239,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000
payload_200k,100,41,40.601098,21,2.796233,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000
payload_400k,100,82,81.583691,41,4.110398,82.000000,82.000000,82.000000,82.000000,82.000000,82.000000
