t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1592262948,100,42,30.725526,27,2.509580,30.000000,32.000000,36.000000,38.000000,42.000000,42.000000
1592263037,100,41,32.402036,28,2.558928,32.000000,34.000000,37.000000,38.000000,39.000000,41.000000
1592263126,100,64,33.149074,29,3.820709,33.000000,34.000000,38.000000,38.000000,39.000000,64.000000
1592263247,100,58,51.721489,48,1.838231,51.000000,53.000000,55.000000,56.000000,58.000000,58.000000
1592263476,100,241,100.914552,85,31.320669,89.000000,92.000000,172.000000,188.000000,226.000000,241.000000
1592263728,100,168,159.980698,155,2.807516,160.000000,162.000000,165.000000,166.000000,168.000000,168.000000
1592264090,100,334,307.500854,297,7.729319,305.000000,312.000000,323.000000,327.000000,330.000000,334.000000
