t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1600886118,500,1.725973,0.341977,12.264004,22.265530,events/second
1600886517,500,1.656904,0.228142,9.462772,17.599204,events/second
1600886867,500,1.619322,0.203931,8.945026,16.789238,events/second
1600887409,500,0.981259,0.005819,3.222811,9.223117,events/second
1600888462,500,0.507432,0.000002,0.428358,3.404872,events/second
1600889104,100,0.249149,0.008909,1.409032,3.277990,events/second
1600889977,100,0.137497,0.000028,0.263782,1.212552,events/second
