t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1600886118,500,3.406027,3.664467,20.542626,27.374712,events/second
1600886517,500,3.272118,2.984929,17.176460,22.991554,events/second
1600886867,500,3.222514,2.674060,16.296948,22.022522,events/second
1600887409,500,1.949785,0.385433,7.756310,12.778675,events/second
1600888462,500,1.012615,0.006689,2.347600,6.249597,events/second
1600889104,100,0.511284,0.271355,2.790513,4.116515,events/second
1600889977,100,0.273591,0.011330,0.875768,1.808910,events/second
