t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1600886118,500,10.520974,13.196874,16.310884,16.898279,events/second
1600886517,500,10.345772,13.120584,16.139762,16.708154,events/second
1600886867,500,9.924490,11.789149,15.199641,15.859274,events/second
1600887409,500,5.264528,5.004861,6.860664,7.217076,events/second
1600888462,500,2.529849,1.425829,2.987652,3.382654,events/second
1600889104,100,1.201157,1.159882,1.507034,1.568911,events/second
1600889977,100,0.644417,0.426189,0.718034,0.773011,events/second
