t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1600886118,500,3.102310,3.222616,22.706667,31.442434,events/second
1600886517,500,2.989910,2.964950,22.331359,31.268238,events/second
1600886867,500,2.946656,2.952996,22.216233,31.101781,events/second
1600887409,500,1.770759,0.311274,9.648839,17.116635,events/second
1600888462,500,0.912328,0.002747,2.052005,6.206611,events/second
1600889104,100,0.460806,0.210680,2.903317,4.498503,events/second
1600889977,100,0.246104,0.005819,0.766465,1.730279,events/second
