t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1600886118,500,50,30.806652,15,5.412305,31.000000,31.000000,40.000000,46.000000,46.000000,50.000000
1600886517,500,80,32.206477,15,5.675059,31.000000,33.000000,46.000000,47.000000,48.000000,80.000000
1600886867,500,68,33.528038,18,6.037876,31.000000,34.000000,46.000000,47.000000,50.000000,68.000000
1600887409,500,162,54.178049,39,9.897872,51.000000,62.000000,66.000000,69.000000,78.000000,162.000000
1600888462,500,185,92.375068,74,11.468863,93.000000,95.000000,109.000000,121.000000,140.000000,185.000000
1600889104,100,175,160.812073,146,5.230934,160.000000,163.000000,171.000000,172.000000,173.000000,175.000000
1600889977,100,414,307.158206,285,16.727676,305.000000,309.000000,323.000000,353.000000,414.000000,414.000000
