payload,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
payload_1k,100,74,26.070732,21,5.435181,25.000000,27.000000,30.000000,31.000000,74.000000,74.000000
payload_5k,100,47,26.472590,23,3.436777,26.000000,27.000000,31.000000,39.000000,47.000000,47.000000
payload_10k,100,33,26.320343,22,2.514931,26.000000,28.000000,31.000000,32.000000,32.000000,33.000000
payload_50k,100,73,35.817308,28,7.395413,33.000000,37.000000,50.000000,51.000000,73.000000,73.000000
payload_100k,100,88,58.671423,47,6.950943,57.000000,63.000000,73.000000,75.000000,75.000000,88.000000
payload_200k,100,347,122.934844,70,69.033480,94.000000,107.000000,294.000000,326.000000,347.000000,347.000000
payload_400k,100,713,281.734385,112,200.348207,154.000000,480.000000,669.000000,686.000000,713.000000,713.000000
