payload,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
payload_1k,100,5.361694,15.847548,18.012977,18.402190,events/second
payload_5k,100,4.819233,12.020416,14.348375,14.779466,events/second
payload_10k,100,3.824266,3.639695,3.627576,3.610458,events/second
payload_50k,100,3.198826,7.647869,10.078787,10.553984,events/second
payload_100k,100,1.631556,2.581997,4.376925,4.782773,events/second
payload_200k,100,0.831728,0.637752,1.716275,2.025162,events/second
payload_400k,100,0.441185,0.118906,0.750318,1.025544,events/second
