payload,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
payload_1k,100,8555,91.418294,1,866.806342,2.000000,3.000000,5.000000,9.000000,8555.000000,8555.000000
payload_5k,100,8707,101.767221,2,877.142103,3.000000,3.000000,6.000000,1009.000000,8707.000000,8707.000000
payload_10k,100,912,11.981948,2,90.620247,3.000000,3.000000,7.000000,8.000000,912.000000,912.000000
payload_50k,100,5950,64.765631,2,594.355960,3.000000,4.000000,13.000000,35.000000,5950.000000,5950.000000
payload_100k,100,7349,97.265584,2,775.099345,5.000000,6.000000,122.000000,178.000000,7349.000000,7349.000000
payload_200k,100,7774,133.573550,3,831.466706,5.000000,7.000000,301.000000,2002.000000,7774.000000,7774.000000
payload_400k,100,7361,157.006820,5,742.140179,9.000000,31.000000,477.000000,516.000000,7361.000000,7361.000000
