payload,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
payload_1k,100,14.788271,20.000000,20.000000,20.000000,events/second
payload_5k,100,7.137005,8.487840,8.259503,8.219945,events/second
payload_10k,100,13.371967,20.000000,20.000000,20.000000,events/second
payload_50k,100,9.667588,17.392782,18.509098,18.702493,events/second
payload_100k,100,5.151873,9.052253,9.644796,9.747941,events/second
payload_200k,100,3.666285,3.977106,3.998974,3.999884,events/second
payload_400k,100,2.170770,2.085807,2.029465,2.010668,events/second
