payload,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
payload_1k,100,2.487320,11.160703,17.797635,19.237152,events/second
payload_5k,100,1.860002,6.773172,11.967455,13.159822,events/second
payload_10k,100,1.003446,4.299612,14.233670,17.376911,events/second
payload_50k,100,1.564828,6.609609,13.539514,15.259558,events/second
payload_100k,100,0.896028,0.599717,1.485816,1.692269,events/second
payload_200k,100,0.566060,0.368158,2.871378,4.044374,events/second
payload_400k,100,0.293412,0.014757,0.695187,1.311752,events/second
