payload,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
payload_1k,100,76,12.608145,4,16.490679,5.000000,6.000000,51.000000,66.000000,67.000000,76.000000
payload_5k,100,828,14.320302,5,78.282757,6.000000,7.000000,10.000000,28.000000,29.000000,828.000000
payload_10k,100,49,8.484111,5,7.409219,6.000000,7.000000,31.000000,36.000000,37.000000,49.000000
payload_50k,100,179,27.156872,6,39.140698,9.000000,24.000000,123.000000,172.000000,179.000000,179.000000
payload_100k,100,242,26.452996,9,50.782221,11.000000,12.000000,188.000000,233.000000,241.000000,242.000000
payload_200k,100,607,84.894429,13,149.742801,17.000000,29.000000,518.000000,520.000000,528.000000,607.000000
payload_400k,100,635,119.624016,19,187.643025,25.000000,45.000000,531.000000,612.000000,634.000000,635.000000
