payload,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
payload_1k,100,3.098110,13.184813,18.400888,19.452090,events/second
payload_5k,100,2.784045,12.130613,18.096748,19.344322,events/second
payload_10k,100,2.308820,11.160703,17.797635,19.237152,events/second
payload_50k,100,2.486013,6.371030,9.573330,10.246060,events/second
payload_100k,100,1.347821,6.769309,16.103966,18.606483,events/second
payload_200k,100,0.692939,0.467282,1.972874,2.492928,events/second
payload_400k,100,0.422467,0.250983,5.089067,8.404145,events/second
