t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1592245374,100,7,7.000000,7,0.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000
1592246752,100,8,8.000000,8,0.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000
1592246983,100,10,10.000000,10,0.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000
1592247180,100,24,24.000000,24,0.000000,24.000000,24.000000,24.000000,24.000000,24.000000,24.000000
1592247447,100,49,49.000000,49,0.000000,49.000000,49.000000,49.000000,49.000000,49.000000,49.000000
1592248057,100,99,99.000000,99,0.000000,99.000000,99.000000,99.000000,99.000000,99.000000,99.000000
1592248535,100,186,186.000000,186,0.000000,186.000000,186.000000,186.000000,186.000000,186.000000,186.000000
