t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1592245374,100,10,5.846324,3,1.605815,6.000000,7.000000,9.000000,9.000000,10.000000,10.000000
1592246752,100,14,6.171183,3,1.786024,6.000000,7.000000,10.000000,14.000000,14.000000,14.000000
1592246983,100,12,6.162878,4,1.683610,6.000000,7.000000,10.000000,11.000000,12.000000,12.000000
1592247180,100,21,10.244694,5,3.516296,9.000000,12.000000,19.000000,19.000000,21.000000,21.000000
1592247447,100,42,18.138425,6,8.125473,17.000000,23.000000,31.000000,42.000000,42.000000,42.000000
1592248057,100,27,19.216573,9,5.204588,18.000000,18.000000,27.000000,27.000000,27.000000,27.000000
1592248535,95,45,30.253109,15,9.006892,30.000000,30.000000,45.000000,45.000000,45.000000,45.000000
