t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1592788924,100,41,24.445843,21,2.940566,24.000000,25.000000,28.000000,40.000000,40.000000,41.000000
1592789054,100,34,24.473982,22,1.986899,24.000000,25.000000,29.000000,33.000000,34.000000,34.000000
1592789196,100,39,24.947966,21,2.827781,24.000000,25.000000,31.000000,35.000000,35.000000,39.000000
1592789446,100,118,51.202593,23,28.244797,46.000000,74.000000,104.000000,118.000000,118.000000,118.000000
1592789641,100,232,105.738700,23,52.199112,107.000000,143.000000,208.000000,223.000000,223.000000,232.000000
1592790008,100,4011,250.570699,24,429.931117,145.000000,332.000000,405.000000,446.000000,4011.000000,4011.000000
1592790677,100,553,400.072619,33,107.452746,388.000000,500.000000,550.000000,553.000000,553.000000,553.000000
