t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1592788924,100,1.423381,6.769309,16.103966,18.606483,events/second
1592789054,100,1.476893,1.635300,2.533662,2.709631,events/second
1592789196,100,1.531526,2.693756,5.108260,5.686413,events/second
1592789446,100,0.904101,0.705945,1.903195,2.223455,events/second
1592789641,100,0.625904,0.878187,6.048249,8.343664,events/second
1592790008,100,0.308947,0.024355,1.085188,2.041571,events/second
1592790677,100,0.173884,0.000342,0.434911,1.432464,events/second
