payload,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
payload_1k,100,9306,111.492234,4,984.930848,5.000000,5.000000,7.000000,134.000000,9306.000000,9306.000000
payload_5k,100,133,8.044291,4,14.175715,5.000000,5.000000,26.000000,36.000000,38.000000,133.000000
payload_10k,100,8944,109.587621,4,935.232933,5.000000,6.000000,45.000000,138.000000,8944.000000,8944.000000
payload_50k,100,9755,138.011903,5,957.922547,41.000000,71.000000,101.000000,110.000000,122.000000,9755.000000
payload_100k,100,9695,188.148156,7,926.163171,96.000000,165.000000,214.000000,218.000000,223.000000,9695.000000
payload_200k,100,423,207.734963,11,116.567744,212.000000,261.000000,404.000000,419.000000,423.000000,423.000000
payload_400k,100,8658,451.114934,28,720.638566,397.000000,441.000000,524.000000,537.000000,539.000000,8658.000000
