payload,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
payload_1k,100,9,6.151854,6,0.657649,6.000000,6.000000,9.000000,9.000000,9.000000,9.000000
payload_5k,100,12,6.963407,3,1.600358,6.000000,9.000000,9.000000,10.000000,10.000000,12.000000
payload_10k,100,13,6.411126,3,1.226814,6.000000,6.000000,9.000000,9.000000,13.000000,13.000000
payload_50k,100,19,8.629250,4,2.500171,7.000000,11.000000,15.000000,15.000000,19.000000,19.000000
payload_100k,100,19,10.415563,5,2.437796,9.000000,14.000000,14.000000,14.000000,19.000000,19.000000
payload_200k,100,26,15.441788,12,3.721332,13.000000,19.000000,19.000000,20.000000,26.000000,26.000000
payload_400k,100,40,23.609633,10,5.806029,20.000000,29.000000,30.000000,39.000000,40.000000,40.000000
