t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597089845,100,4.566269,15.576016,19.024588,19.669429,events/second
1597089983,100,4.353722,15.576016,19.024588,19.669429,events/second
1597090082,100,4.462387,15.576016,19.024588,19.669429,events/second
1597090198,100,2.924405,13.184813,18.400888,19.452090,events/second
1597090395,100,1.497763,7.088861,15.730638,17.965903,events/second
1597090766,100,0.782261,1.767543,8.397587,10.889204,events/second
1597091372,100,0.422697,0.192333,3.719311,6.093722,events/second
