t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595364605,100,19,6.719603,5,1.995000,6.000000,7.000000,11.000000,13.000000,19.000000,19.000000
1595364801,100,150,8.134804,5,14.149411,6.000000,7.000000,9.000000,12.000000,12.000000,150.000000
1595364928,100,23,7.435303,5,2.449900,7.000000,8.000000,12.000000,14.000000,16.000000,23.000000
1595365089,100,15,9.096530,7,1.518264,9.000000,10.000000,12.000000,14.000000,14.000000,15.000000
1595365327,100,31,12.021013,9,2.665758,12.000000,12.000000,15.000000,21.000000,31.000000,31.000000
1595366072,100,69,17.699755,14,5.324693,17.000000,18.000000,21.000000,29.000000,34.000000,69.000000
1595366925,100,51,27.139401,22,3.778219,26.000000,28.000000,33.000000,35.000000,48.000000,51.000000
