t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1593657398,100,403,31.700631,24,37.140548,27.000000,30.000000,35.000000,41.000000,44.000000,403.000000
1593657519,100,9472,131.182792,27,936.596480,34.000000,36.000000,40.000000,42.000000,393.000000,9472.000000
1593657626,100,6330,113.134176,30,662.958840,37.000000,39.000000,46.000000,553.000000,6330.000000,6330.000000
1593657773,100,471,61.840443,51,40.402093,57.000000,61.000000,66.000000,70.000000,71.000000,471.000000
1593658027,100,500,98.879232,88,39.062366,94.000000,99.000000,106.000000,109.000000,110.000000,500.000000
1593658472,100,731,208.918801,159,79.949737,173.000000,184.000000,311.000000,323.000000,486.000000,731.000000
1593659227,100,5756,433.527574,295,497.178968,308.000000,570.000000,590.000000,716.000000,723.000000,5756.000000
