t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1600890790,500,3.031707,3.208597,22.589303,31.275003,events/second
1600891173,500,3.005556,2.977849,22.446782,31.434741,events/second
1600891496,500,2.829940,2.372009,20.149441,28.782351,events/second
1600892020,500,1.754889,0.311199,9.648745,17.116616,events/second
1600892239,100,0.876809,1.983959,7.581020,9.479348,events/second
1600892632,100,0.459862,0.199899,2.708164,4.183537,events/second
1600893370,100,0.244476,0.005819,0.766465,1.730279,events/second
